issue_number,title,url,created_date,updated_date,assignee,assessment,plugin_or_scope,comments
6,[RFC] Using a package manager for plugins,https://github.com/NotePlan/plugins/issues/6,2021-05-24,2022-06-28,,Still useful - Feature Request,Plugin ecosystem,A package registry/discovery workflow remains a valid long-term ecosystem request.
61,Assign a template to a note with keyword in note title,https://github.com/NotePlan/plugins/issues/61,2021-08-25,2021-11-15,,Still useful - Feature Request,np.Templating,Automatic template selection from a title keyword remains useful.
72,Quick Capture - append date to added task,https://github.com/NotePlan/plugins/issues/72,2021-09-03,2023-02-25,mikeerickson;jgclark,Still useful - Feature Request,jgclark.QuickCapture,Adding evaluated date/time tokens to captured text remains a useful enhancement.
86,Help Documentation around Templates,https://github.com/NotePlan/plugins/issues/86,2021-09-15,2021-09-15,,Still useful - Question/Docs,np.Templating,Templating documentation and approachable examples remain valuable.
101,template {{variable}} reuse,https://github.com/NotePlan/plugins/issues/101,2021-11-05,2021-11-05,,Closed (superseded),np.Templating,Modern templating reuses prompted variables across a template; original multi-prompt pain is largely gone.
216,Allow non-string JSON defaults,https://github.com/NotePlan/plugins/issues/216,2022-01-29,2022-01-29,EduardMe,Still useful - Feature Request,NotePlan core (Plugin Settings),Structured/non-string settings defaults remain useful for plugin authors.
217,Settings: Link Button,https://github.com/NotePlan/plugins/issues/217,2022-01-30,2022-01-30,EduardMe,Still useful - Feature Request,NotePlan core (Plugin Settings),A link/button settings control type remains useful for docs and actions.
218,Settings: Static Object,https://github.com/NotePlan/plugins/issues/218,2022-01-30,2022-06-22,EduardMe,Still useful - Feature Request,NotePlan core (Plugin Settings),Static explanatory text/headings in settings (info type) remains useful; overlaps #215.
221,Allow other date styles in /process date offsets,https://github.com/NotePlan/plugins/issues/221,2022-02-02,2023-09-29,jgclark,Still useful - Feature Request,jgclark.NoteHelpers / date offsets,Locale-aware alternate date styles in /process date offsets remain useful.
228,Add a customisable button to the first page of keyboard row controls on iOS,https://github.com/NotePlan/plugins/issues/228,2022-02-08,2022-02-08,EduardMe,Still useful - Feature Request,NotePlan core iOS,A configurable first-row iOS keyboard button remains a valid workflow improvement.
236,Task Sweeper is not moving instead of rescheduling tasks,https://github.com/NotePlan/plugins/issues/236,2022-03-08,2022-06-28,nmn,Closed (too old),nmn.TaskSweeper,Task Sweeper is no longer in the active plugins tree; superseded by later task automation plugins.
237,In-line/refreshable templates (data-view v1),https://github.com/NotePlan/plugins/issues/237,2022-03-08,2022-03-08,EduardMe,Still useful - Feature Request,NotePlan core / Templating,Reactive inline/refreshable templates (data-view) have not been replaced by ordinary template insertion.
238,Pane heading (now shows folder) should instead contain (editable) filename,https://github.com/NotePlan/plugins/issues/238,2022-03-08,2022-03-11,EduardMe,Still useful - Feature Request,NotePlan core UI,Editable filenames in split-pane titles remain a valid UI request.
